Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,a7e4760c
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2,5f09991f
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2590ddf7
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0,32c2d95f
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,9f9e1b9c
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10,0,a4c3f7af
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0,31626657
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0,469d3d84
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0e46fa2f
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87,0,8bc373ea
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0,565bf0da
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,f586779e
13,Amir Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,1c08a3c8
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0,01040647
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2,b96b595c
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0,dc38e3bc
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1,81442ecb
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1,f2bf1b0f
19,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21,1999,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0,2b09d998
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0,22919e97
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2,c81d773d
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,3ed84b2c
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2,26777636
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7005ac66
