Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
1,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-066,2002,3,2,225,2.5,4,1.60,8,3,50.0,1,0,1,0,0.0,1,0,1,0,100.0,9e17ccff
2,Alisson,br BRA,GK,Liverpool,eng Premier League,30-093,1992,17,17,1530,17.0,22,1.29,78,56,74.4,8,4,5,4,23.5,3,2,1,0,33.3,7a2e46a8
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29-310,1993,2,0,107,1.2,2,1.68,2,0,50.0,0,0,0,0,,1,1,0,0,0.0,2f965a72
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-092,1994,8,8,675,7.5,6,0.80,34,30,82.4,4,3,0,4,50.0,0,0,0,0,,28d596a0
5,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-189,1989,5,5,450,5.0,7,1.40,12,5,41.7,1,1,3,1,20.0,0,0,0,0,,9f0ea33f
6,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25-350,1997,15,15,1350,15.0,27,1.80,71,45,64.8,1,3,11,2,13.3,3,2,1,0,33.3,649b01d8
7,Édgar Badía,es ESP,GK,Elche,es La Liga,30-325,1992,15,15,1350,15.0,33,2.20,96,62,68.8,0,4,11,0,0.0,5,3,2,0,40.0,e4346678
8,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32-215,1990,15,15,1350,15.0,22,1.47,67,46,68.7,5,3,7,4,26.7,1,1,0,0,0.0,47064058
9,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20-317,2002,17,17,1530,17.0,32,1.88,70,40,54.3,3,3,11,1,5.9,1,0,1,0,100.0,c91441dc
10,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35-197,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,7b4de647
11,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25-260,1997,9,9,810,9.0,22,2.44,52,32,63.5,0,2,7,1,11.1,3,3,0,0,0.0,28dabd43
12,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31-299,1991,16,16,1440,16.0,33,2.06,85,51,65.9,3,3,10,0,0.0,6,4,2,0,33.3,3d214e5f
13,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,27-162,1995,3,3,270,3.0,4,1.33,12,9,66.7,1,1,1,0,0.0,0,0,0,0,,967f34d3
14,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31-246,1991,8,8,720,8.0,11,1.37,28,17,67.9,5,2,1,1,12.5,2,2,0,0,0.0,663e080e
15,Joaquín Blázquez,ar ARG,GK,Brest,fr Ligue 1,21-340,2001,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,6a9e4913
