Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-073,2000,16,16,1361,15.1,1,2,1,0,0,2,0,0.07,0.13,0.20,0.07,0.20,2.0,2.0,3.0,5.0,0.13,0.20,0.33,0.13,0.33,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-097,1987,17,17,1530,17.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.6,0.08,0.01,0.09,0.08,0.09,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-047,1999,9,4,396,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.10,0.16,0.26,0.10,0.26,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-283,2000,17,17,1529,17.0,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.4,1.0,0.04,0.02,0.06,0.04,0.06,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29-336,1993,12,12,961,10.7,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.5,0.7,0.02,0.05,0.07,0.02,0.07,31626657
6,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-281,2003,11,0,107,1.2,1,0,1,0,0,0,0,0.84,0.00,0.84,0.84,0.84,0.8,0.8,0.3,1.0,0.65,0.22,0.87,0.65,0.87,0e46fa2f
7,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,22-319,2000,17,14,1209,13.4,3,3,3,0,0,2,0,0.22,0.22,0.45,0.22,0.45,3.6,3.6,1.4,5.0,0.27,0.10,0.37,0.27,0.37,c2a6033c
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-093,1997,15,12,1041,11.6,3,1,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35,6.3,6.3,1.8,8.1,0.54,0.16,0.70,0.54,0.70,f586779e
9,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34-327,1988,9,7,660,7.3,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,b96b595c
10,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20-352,2002,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.30,0.08,0.39,0.30,0.39,1e93fc5d
11,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-067,1991,11,8,641,7.1,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.2,1.5,0.05,0.16,0.21,0.05,0.21,81442ecb
12,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-174,1996,16,14,1246,13.8,4,1,4,0,0,0,0,0.29,0.07,0.36,0.29,0.36,4.4,4.4,1.9,6.4,0.32,0.14,0.46,0.32,0.46,f2bf1b0f
13,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23-323,1999,14,14,1256,14.0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.0,1.1,0.00,0.07,0.08,0.00,0.08,2b09d998
14,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-225,1993,14,3,434,4.8,1,1,1,0,0,1,0,0.21,0.21,0.41,0.21,0.41,2.9,2.9,0.6,3.5,0.60,0.12,0.72,0.60,0.72,22919e97
15,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-101,1997,11,10,901,10.0,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.1,0.1,0.0,0.2,0.01,0.00,0.02,0.01,0.02,c81d773d
16,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-032,2003,4,0,93,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,7587446d
17,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,20-350,2002,11,7,489,5.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.4,2.3,0.17,0.25,0.42,0.17,0.42,501055d8
18,Amine Adli,fr FRA,FW,Leverkusen,de Bundesliga,22-238,2000,8,3,355,3.9,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.6,0.6,0.6,1.1,0.14,0.14,0.29,0.14,0.29,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-158,2000,4,1,116,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.07,0.13,0.07,0.13,26777636
20,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,25-362,1997,13,7,625,6.9,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.7,0.7,0.2,0.8,0.10,0.03,0.12,0.10,0.12,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,19-349,2003,7,2,220,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.05,0.02,0.07,0.05,0.07,0154d290
